======ListNet MQ2007 metrics average of [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
8,      0.2187, 0.3123, 0.3383, 0.3579, 0.3656, 0.3681
9,      0.2181, 0.3122, 0.3380, 0.3577, 0.3653, 0.3679
10,     0.2180, 0.3121, 0.3379, 0.3576, 0.3652, 0.3678
AVG,    0.2181, 0.3121, 0.3380, 0.3577, 0.3654, 0.3680
STD,    0.0012, 0.0007, 0.0006, 0.0006, 0.0007, 0.0007
======Alpha[-1.0] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4710, 0.4749, 0.4804, 0.5118, 0.5834, 0.6956
2,      0.4675, 0.4731, 0.4794, 0.5115, 0.5825, 0.6949
3,      0.4665, 0.4727, 0.4806, 0.5119, 0.5833, 0.6952
4,      0.4717, 0.4736, 0.4809, 0.5118, 0.5832, 0.6953
5,      0.4666, 0.4710, 0.4790, 0.5105, 0.5816, 0.6945
6,      0.4630, 0.4723, 0.4799, 0.5110, 0.5818, 0.6947
7,      0.4728, 0.4749, 0.4819, 0.5124, 0.5835, 0.6960
8,      0.4671, 0.4721, 0.4796, 0.5108, 0.5821, 0.6947
9,      0.4687, 0.4719, 0.4801, 0.5115, 0.5826, 0.6950
10,     0.4673, 0.4733, 0.4798, 0.5110, 0.5824, 0.6948
AVG,    0.4682, 0.4730, 0.4802, 0.5114, 0.5827, 0.6951
STD,    0.0028, 0.0012, 0.0008, 0.0005, 0.0006, 0.0004

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2208, 0.3146, 0.3403, 0.3597, 0.3675, 0.3700
2,      0.2195, 0.3137, 0.3393, 0.3590, 0.3667, 0.3692
3,      0.2188, 0.3131, 0.3397, 0.3586, 0.3664, 0.3690
4,      0.2216, 0.3146, 0.3409, 0.3602, 0.3679, 0.3705
5,      0.2199, 0.3134, 0.3399, 0.3591, 0.3668, 0.3694
6,      0.2168, 0.3124, 0.3386, 0.3579, 0.3656, 0.3682
7,      0.2225, 0.3151, 0.3417, 0.3607, 0.3685, 0.3711
8,      0.2192, 0.3133, 0.3397, 0.3590, 0.3667, 0.3693
9,      0.2204, 0.3140, 0.3400, 0.3595, 0.3672, 0.3698
10,     0.2190, 0.3136, 0.3397, 0.3589, 0.3667, 0.3692
AVG,    0.2199, 0.3138, 0.3400, 0.3593, 0.3670, 0.3696
STD,    0.0015, 0.0008, 0.0008, 0.0008, 0.0008, 0.0008

======Alpha[-0.5] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4698, 0.4726, 0.4797, 0.5114, 0.5830, 0.6950
2,      0.4673, 0.4713, 0.4816, 0.5114, 0.5824, 0.6951
3,      0.4657, 0.4707, 0.4803, 0.5101, 0.5823, 0.6941
4,      0.4652, 0.4702, 0.4783, 0.5112, 0.5819, 0.6940
5,      0.4668, 0.4715, 0.4793, 0.5109, 0.5826, 0.6947
6,      0.4713, 0.4691, 0.4799, 0.5106, 0.5828, 0.6946
7,      0.4688, 0.4703, 0.4785, 0.5107, 0.5821, 0.6941
8,      0.4693, 0.4717, 0.4789, 0.5110, 0.5827, 0.6947
9,      0.4696, 0.4707, 0.4805, 0.5111, 0.5831, 0.6948
10,     0.4663, 0.4713, 0.4799, 0.5108, 0.5821, 0.6945
AVG,    0.4680, 0.4709, 0.4797, 0.5109, 0.5825, 0.6946
STD,    0.0019, 0.0009, 0.0010, 0.0004, 0.0004, 0.0004

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2212, 0.3142, 0.3403, 0.3595, 0.3674, 0.3699
2,      0.2197, 0.3131, 0.3398, 0.3587, 0.3665, 0.3691
3,      0.2199, 0.3132, 0.3395, 0.3585, 0.3665, 0.3690
4,      0.2192, 0.3122, 0.3386, 0.3580, 0.3658, 0.3684
5,      0.2200, 0.3134, 0.3391, 0.3586, 0.3664, 0.3689
6,      0.2228, 0.3136, 0.3407, 0.3597, 0.3676, 0.3701
7,      0.2215, 0.3134, 0.3397, 0.3590, 0.3668, 0.3694
8,      0.2206, 0.3139, 0.3399, 0.3592, 0.3671, 0.3696
9,      0.2218, 0.3141, 0.3407, 0.3597, 0.3676, 0.3701
10,     0.2200, 0.3135, 0.3395, 0.3588, 0.3666, 0.3691
AVG,    0.2207, 0.3134, 0.3398, 0.3590, 0.3668, 0.3694
STD,    0.0011, 0.0005, 0.0007, 0.0005, 0.0006, 0.0005
======Alpha[0.5] Divergence MQ2007 [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4615, 0.4684, 0.4797, 0.5121, 0.5821, 0.6937
2,      0.4656, 0.4705, 0.4795, 0.5116, 0.5826, 0.6942
3,      0.4623, 0.4692, 0.4794, 0.5119, 0.5827, 0.6941
4,      0.4681, 0.4706, 0.4805, 0.5124, 0.5826, 0.6943
5,      0.4647, 0.4703, 0.4811, 0.5116, 0.5824, 0.6943
6,      0.4686, 0.4705, 0.4799, 0.5125, 0.5834, 0.6944
7,      0.4656, 0.4707, 0.4783, 0.5130, 0.5833, 0.6944
8,      0.4644, 0.4702, 0.4798, 0.5110, 0.5826, 0.6942
9,      0.4699, 0.4726, 0.4817, 0.5125, 0.5842, 0.6953
10,     0.4690, 0.4725, 0.4822, 0.5130, 0.5840, 0.6953
AVG,    0.4660, 0.4705, 0.4802, 0.5122, 0.5830, 0.6944
